Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	15.708338	8.918923	62.377796	4.830865	-1.2362527	0.3596152	-0.72153944	-1.8613212	21.234043	17.6	1999	1.666144	0.85631555	5.3440146	-1.2114217	1.6661439	0.85646343	5.341976	-1.1817222	-1.8829185	0.051354293	78.56235194206238
2	17.679968	14.181823	86.85212	5.620338	38.865562	0.5319595	40.30579	38.22343	23.011627	22.1	3999	4.336989	2.4768603	15.789448	-3.4398975	4.337282	2.476853	16.005917	-2.5350814	-4.820712	0.24448504	253.47007417678833
3	18.151121	17.093311	131.47325	5.4185095	28.251577	0.9976245	30.041811	26.9547	21.28421	22.9	5999	10.254065	4.6121497	29.569014	-7.31768	10.253742	4.614971	29.04881	-9.23192	-11.967498	1.2293317	444.9354543685913
4	16.5963	12.582856	88.287506	4.7718105	35.95603	0.84446716	37.522	35.03717	20.649485	27.3	7999	18.758617	7.162896	44.623695	-18.073896	18.758236	7.1720533	45.877594	-16.933685	-21.5258	3.3463154	644.6859221458435
5	19.728779	18.675835	141.56474	5.7132974	43.375347	1.5794599	45.71068	41.76485	23.10465	31.7	9999	27.078758	9.986175	63.580082	-16.14156	27.078272	9.997493	61.47729	-15.680256	-30.44518	6.0735474	837.3373804092407
6	99.01524	78.6779	248.53368	9.163598	190.67276	2.8242178	196.1094	185.95105	57.142857	96.6	11999	37.30536	13.627797	74.84274	-18.280485	37.30422	13.647601	74.71562	-17.187725	-41.141094	12.0960245	1040.8460249900818
7	207.70987	22.919086	249.05193	156.43741	218.3178	3.8726978	222.1524	209.62599	99.15	105.0	13999	47.57931	16.092365	85.61736	-20.16878	47.57861	16.111334	85.06108	-21.382778	-51.656353	17.976902	1238.4005925655365
8	207.05461	9.580732	224.32819	191.09131	216.64067	5.839332	224.0335	207.82317	100.65	105.2	15999	58.94306	17.874346	95.94565	-23.889734	58.94437	17.895891	96.636765	-27.694117	-63.607533	24.216063	1441.2492880821228
9	225.0359	35.53531	305.2744	181.74814	276.2746	2.1338677	279.91898	272.78085	109.666664	126.4	17999	68.82156	19.801037	107.94275	-24.339136	68.82334	19.803764	108.131805	-30.088766	-73.35105	23.839603	1641.999176979065
10	283.7101	13.596925	300.6552	259.60013	301.32083	2.4127653	305.5755	298.24673	131.13333	131.6	19999	76.40617	21.463598	120.56288	-30.120823	76.40668	21.481642	120.12879	-33.24113	-80.40173	24.789192	1840.7595856189728
11	302.08023	11.439596	321.73923	272.61826	294.20688	3.4989424	300.4535	290.23886	134.2	133.1	21999	81.7966	23.88896	129.28223	-39.73301	81.79814	23.899412	127.544914	-38.552235	-85.883484	24.960516	2044.9570751190186
12	297.7553	13.856224	329.0418	276.77115	286.08826	3.8287432	293.24448	281.38962	141.64285	135.1	23999	88.51126	26.486685	132.58388	-35.531487	88.51287	26.48917	132.8233	-37.572983	-93.03454	25.653229	2245.5511236190796
13	288.99576	8.983063	308.01413	277.02997	302.01788	2.9722745	307.08072	297.23105	133.66667	133.5	25999	96.00955	28.940763	142.04582	-33.58698	96.01038	28.9472	141.19757	-57.198723	-100.52566	26.410015	2449.1160600185394
14	293.4621	9.686234	312.04675	277.67517	285.823	1.083997	287.37427	283.91904	129.5	125.1	27999	102.46063	31.95199	145.88483	-44.36016	102.46238	31.953533	146.0757	-41.347336	-107.00498	27.552265	2657.4237010478973
15	299.68304	14.940118	322.0517	276.94943	309.42987	2.9001372	316.99332	306.54544	136.0	148.9	29999	107.74478	34.990555	157.70859	-57.97311	107.74549	34.99504	157.42	-52.699455	-112.0154	27.090433	2874.094379901886
16	267.67645	89.16077	331.2969	33.54251	328.47998	6.6405797	345.7133	321.6096	124.25	155.7	31999	111.8989	37.393597	167.6014	-44.00156	111.8999	37.394238	167.01227	-64.5842	-116.010445	27.79169	3088.562707424164
17	313.8559	37.64756	374.36728	261.1713	264.7135	1.96866	268.09726	262.34335	150.28572	119.6	33999	115.00641	39.647205	175.07399	-47.350666	115.00665	39.654175	175.52313	-73.82271	-118.83209	28.755245	3304.0007078647614
18	268.57898	10.663007	287.20654	242.85886	276.14716	4.1847854	285.21967	269.59	119.25	124.4	35999	117.77013	41.654636	179.46808	-53.363945	117.76994	41.66207	178.04263	-61.69598	-121.752075	31.666265	3528.11012840271
19	256.1507	63.882263	309.77814	79.42186	278.79993	3.0573378	282.17258	272.8813	116.166664	124.9	37999	120.90813	43.776237	181.04584	-76.9158	120.90884	43.788303	177.26245	-63.45521	-125.03492	31.446941	3751.1353647708893
20	302.5375	49.429977	377.12335	208.51753	373.66708	5.860868	384.2167	366.1877	132.26666	162.1	39999	123.862	44.850315	176.9822	-66.588264	123.86107	44.85177	176.33328	-60.21246	-128.0134	33.496147	3985.4634873867035
21	321.01855	40.738953	440.67517	268.16248	303.0074	11.701752	323.23422	282.96518	137.64285	132.4	41999	125.33088	44.299408	171.73813	-92.2393	125.32981	44.311356	171.92108	-115.63921	-129.17595	33.552986	4212.526731014252
22	295.54434	70.00715	362.63428	41.534462	322.36264	2.6688688	326.99396	318.3693	125.6875	139.8	43999	125.59774	43.30202	175.58704	-68.09226	125.59776	43.31219	174.50507	-65.0887	-128.95546	31.435394	4439.213114023209
