Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-18.788872	23.862104	27.50173	-65.965515	-29.58313	11.499761	-11.293289	-47.26649	65.72414	14.5	1999	0.0075886305	2.0523877	10.921149	-11.560791	-0.71966726	0.23119874	81.48418378829956
2	-33.11869	78.72531	34.12625	-339.04315	-55.570503	39.138363	-19.99136	-157.78502	120.0	21.2	3999	10.653458	8.694184	49.33889	-14.994731	-13.9559355	1.3896906	229.04675483703613
3	-81.69006	141.87495	3.4652057	-364.71704	-378.0266	814.5131	-30.69569	-2813.1724	280.4	136.3	5999	59.044296	23.626556	139.12267	-28.31001	-68.48066	8.717162	379.07138109207153
4	-135.6479	138.5507	14.987964	-330.02454	-280.58258	717.09106	-29.203493	-2431.6414	410.33334	100.0	7999	176.8762	51.22075	313.9236	-95.04089	-197.37177	44.021416	536.4022407531738
5	-105.92106	111.347046	-7.6381307	-320.8071	-133.85316	214.50981	-21.54909	-768.88995	309.0	49.8	9999	392.61295	88.7516	631.6552	-165.69702	-428.40628	168.73329	683.2396366596222
6	-108.44649	221.63716	-9.753965	-1244.3257	-392.17218	849.1711	-21.558964	-2930.7227	53.55102	131.6	11999	657.8896	77.15765	874.3567	-728.5049	-686.5907	826.2527	841.2382066249847
7	-1396.567	1286.605	-109.9621	-2683.1719	-749.6493	1092.8845	-26.522022	-2997.5752	520.0	256.7	13999	725.81384	77.07931	864.3885	-333.5383	-741.7425	957.2584	1011.9587857723236
8	-440.1059	844.46515	-35.135548	-2633.216	-356.13806	851.8108	-28.103037	-2908.8928	174.8	124.7	15999	742.8776	80.16763	881.47174	-407.6154	-758.4462	785.3987	1167.4197759628296
9	-296.41434	658.8067	-21.368576	-2656.5042	-81.77974	35.568237	-27.030233	-140.8084	113.92857	31.4	17999	747.69354	78.1517	898.8075	-349.48648	-760.83405	689.99915	1310.0636584758759
10	-289.6879	719.7526	-22.83265	-2702.6921	-90.21247	91.40368	-23.787998	-350.63824	110.791664	34.8	19999	736.5176	79.384575	886.6637	-367.65033	-748.601	687.7846	1457.8793768882751
