Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	17.959547	14.076231	104.832306	4.9551096	39.038887	1.3765758	40.677097	37.074642	20.989246	22.2	1999	3.1925285	2.0997002	16.796156	-1.8597822	-3.7770875	0.112806596	79.12948608398438
2	17.637115	15.973875	126.40207	4.1398892	38.79147	0.8348948	40.208206	37.01408	21.28125	22.1	3999	18.725668	9.741335	57.355675	-17.949953	-21.800539	2.360926	279.4695301055908
3	16.093605	12.891121	77.34016	4.5587897	216.75903	4.3573856	222.80963	210.78094	21.505377	124.0	5999	47.550316	16.152037	102.63142	-44.69118	-53.336212	12.339187	473.27611565589905
4	19.030767	23.661856	147.21614	4.9897313	88.68463	1.3889521	90.44932	87.048195	21.526882	55.5	7999	94.27957	33.145695	214.04602	-210.90208	-106.178345	48.72709	660.1761314868927
5	18.014845	14.458002	80.24719	4.9036136	199.85544	4.792355	207.2123	190.26956	21.663044	102.2	9999	186.89526	65.90722	417.52808	-239.3372	-211.30908	180.4743	848.1769232749939
6	193.22678	22.050186	233.58652	158.07574	201.72177	2.0691025	205.228	199.03864	102.26316	96.4	11999	346.44165	114.9553	626.49976	-428.95334	-385.69745	536.2046	1041.6008834838867
7	108.17836	94.52875	226.5037	-1.6878628	-1.3844315	0.25846076	-0.8716547	-1.6675813	64.1875	19.0	13999	455.7178	140.6029	658.73376	-521.70483	-485.5118	764.9774	1225.26584815979
8	-1.396977	0.697568	4.540038	-2.3451004	-1.4012427	0.19956896	-1.0863898	-1.6955463	18.794392	18.2	15999	493.94745	139.67719	666.87823	-350.21567	-524.2129	852.3842	1414.16881275177
9	80.45147	124.358864	445.8934	-1.4916198	11.784662	0.82771134	13.530317	10.748355	48.939392	12.7	17999	534.2049	157.97365	816.62775	-241.7983	-567.8657	1047.7538	1601.2943398952484
10	321.0774	359.7736	1033.5326	24.299318	87.42399	2.9946916	93.10234	83.3111	250.22223	81.1	19999	600.5385	159.51132	903.7657	-287.93402	-633.7665	979.11365	1794.2099046707153
11	377.41785	100.240456	493.98038	138.50844	446.96796	42.00571	514.4149	387.30518	216.0	264.8	21999	651.4319	167.49454	950.07886	-413.78986	-684.6561	1074.4427	2000.3777968883514
12	393.0397	150.298	579.1959	22.002438	432.19424	69.54742	566.32513	350.9387	207.1	234.8	23999	701.44073	177.43127	972.77997	-524.76605	-733.35474	1095.7382	2202.3822164535522
13	311.1913	132.27621	529.2158	39.51276	447.78897	29.490967	503.94086	408.60898	146.35715	179.8	25999	741.82104	178.38356	1113.4612	-414.24142	-773.7909	1154.1646	2405.6942460536957
14	292.35287	128.2615	468.66965	33.270084	324.53775	1.8542738	327.33154	321.37943	120.23529	129.2	27999	778.6694	189.18257	1114.0413	-440.72272	-810.3255	1248.7002	2610.50040268898
15	178.62321	121.54676	328.82526	42.477337	298.8128	22.775745	330.42062	262.09137	84.478264	149.4	29999	798.4123	204.78357	1127.8889	-619.88477	-828.1739	1322.3547	2818.8543195724487
16	189.17224	115.61652	336.48328	4.493038	4.7999268	0.24827646	5.183597	4.455133	114.5	30.6	31999	794.2893	216.83879	1170.9789	-372.64008	-822.2027	1357.4644	3021.162155151367
17	258.0375	190.1226	521.98944	5.1691885	620.0321	155.2611	1026.508	480.95563	149.08333	447.4	33999	804.4721	223.36827	1136.4025	-507.8803	-833.3911	1372.2982	3251.1759028434753
18	157.89828	191.8148	589.7465	8.325168	68.863	131.55989	451.06772	11.678785	138.6875	100.3	35999	825.9404	223.79495	1135.5437	-540.0316	-855.2029	1404.062	3463.342730283737
19	206.38338	91.794975	388.97168	18.139986	337.70804	27.918764	365.645	270.2477	133.64285	174.6	37999	839.0848	221.04561	1165.791	-524.81213	-865.54364	1502.831	3684.3353233337402
20	301.4416	79.34772	485.17346	161.51236	428.70868	35.637756	488.99048	361.47458	133.53334	156.4	39999	837.42926	234.11833	1232.7921	-529.16656	-864.0181	1427.3625	3912.395515203476
21	358.74652	121.292755	562.9996	34.941444	352.962	85.08151	524.3225	253.14024	148.35715	161.3	41999	850.59625	251.69867	1269.8654	-544.63257	-878.1307	1259.8633	4140.853463888168
