Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	118.92663	32.087772	225.90459	83.35781	58.15545	2.1861484	61.575115	56.62704	23.654762	12.3	1999	15.36091	6.2206774	32.372803	-1.8122059	-15.67576	1.0751535	113.20823454856873
2	122.1806	35.9243	271.07928	78.35527	60.548096	1.9192059	61.645496	56.691875	24.353659	12.8	3999	40.26993	15.265571	71.84343	-13.017577	-39.71091	3.2749305	422.88740849494934
3	122.81046	36.91149	232.937	83.20383	58.607464	2.3228903	61.615124	56.52163	24.469135	12.4	5999	36.02648	20.132555	73.711395	-9.409671	-31.952381	4.7687564	738.5757310390472
4	121.16244	42.074238	320.73984	78.71947	59.602924	2.3141534	61.642654	56.696274	24.190475	12.6	7999	29.886967	11.82172	57.316895	-4.190532	-27.286976	2.2106955	1029.061155796051
5	116.3646	35.33311	244.06985	78.542854	58.588573	2.364097	61.674175	56.530228	23.255814	12.4	9999	30.695166	12.987859	58.44333	-2.2706532	-27.84396	2.2219014	1383.7526841163635
6	60.36416	2.2802286	62.424976	57.03528	59.141785	2.4053993	61.659626	56.572994	12.64557	12.5	11999	31.304787	12.729391	61.632687	-9.213168	-28.933071	1.8173909	1750.9054794311523
7	60.280083	2.3082721	62.300976	57.029053	61.057777	1.427823	61.63444	56.781826	12.626582	12.9	13999	35.77627	15.5817375	72.249115	-1.8842297	-34.295055	1.9335788	2120.302624464035
8	60.563416	2.2171571	62.37899	57.025406	59.571358	2.2889495	61.604225	56.572334	12.683544	12.6	15999	37.37001	17.21623	76.528206	-0.5219207	-36.048477	1.8573198	2490.7318353652954
9	60.115536	2.356641	62.317272	57.01617	60.05059	2.130712	61.595703	56.702045	12.597485	12.7	17999	38.02757	18.041456	80.48069	-1.8835562	-36.787453	1.7762091	2878.7501022815704
10	60.211594	2.3237631	62.33664	57.04395	59.582542	2.3239777	61.5793	56.70884	12.613924	12.6	19999	37.856384	18.341778	82.78606	-0.6534077	-36.752438	1.6800946	3272.8412528038025
11	60.48853	2.2624478	62.36306	57.03789	59.09904	2.389196	61.580723	56.649403	12.670886	12.5	21999	37.681328	18.501429	87.24184	-3.1805482	-36.71269	1.571717	3676.430520057678
12	60.478848	2.2501469	62.391045	57.0921	59.14445	2.3358097	61.64546	56.633396	12.670886	12.5	23999	37.621803	18.600348	83.0288	-2.409442	-36.74484	1.4467629	4100.021106481552
