Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-29.230528	23.86567	2.0633001	-94.98069	579.1426	69.76541	770.5459	511.32767	76.56	1000.0	1999	1.8999738	1.9967847	11.74977	-6.620275	1.8989956	1.9967471	11.832012	-6.1543694	-4.8657475	1.158794	2.773656	-12.201202	-3.0308712	0.5645945	302.7138023376465
2	-191.21364	145.85544	-45.358196	-337.0691	47.534706	110.69587	281.08905	-58.466377	550.0	439.4	3999	7.8014565	4.7526712	31.47152	-7.2442646	7.800788	4.748901	31.153101	-6.5188766	-2.937507	2.2658527	10.983746	-13.620979	-9.283977	1.5621846	724.2347977161407
3	-28.95136	59.251305	11.135432	-287.10858	-568.369	241.6814	-264.6674	-1099.3777	99.304344	1000.0	5999	18.939816	6.626239	49.268837	-6.745545	18.938198	6.616012	49.98008	-8.288978	-1.046481	3.0382943	17.28915	-13.587871	-20.98908	4.6463776	1236.8758172988892
4	-82.227264	122.82988	4.218604	-368.5393	-510.00262	314.44012	-18.431532	-1077.5067	243.63637	806.3	7999	33.12939	8.250073	72.28392	-12.399742	33.126717	8.239421	71.2244	-27.10838	0.27553537	3.5516443	22.199614	-14.517627	-35.60567	7.2807536	1723.5296907424927
5	-44.523396	90.2846	3.733974	-352.5881	-255.74911	405.7016	10.862201	-1269.909	148.61539	315.0	9999	48.667423	9.6853285	85.14285	-13.478987	48.666	9.666944	85.02672	-18.772726	1.2500856	4.0409546	30.90738	-15.244785	-51.50273	12.200723	2143.945835828781
6	-322.4005	420.84045	-1.663411	-916.94165	57.105682	52.43425	160.93958	-6.577695	379.33334	355.3	11999	60.225895	9.012167	90.98973	-23.126556	60.225643	9.0151825	93.20748	-21.921839	-0.36161312	3.63728	30.077894	-15.510746	-62.05196	13.70201	2574.3285179138184
7	-135.29993	215.4857	79.374245	-542.6269	625.60095	265.38522	837.5991	4.0179367	467.16666	901.7	13999	59.89109	9.106758	93.30509	-27.37696	59.89137	9.112314	91.12179	-29.504274	-2.1838958	2.6340165	31.188795	-15.327382	-60.982445	10.220567	3067.199425458908
8	-58.88992	61.95544	1.8194513	-162.54456	527.8377	309.09235	918.9051	52.480835	403.5	742.6	15999	57.414234	9.160647	86.81229	-31.733324	57.41523	9.164571	85.94611	-32.91949	-2.5742996	2.3450923	24.267426	-14.406629	-58.35441	9.904622	3534.013782262802
9	-3.1484714	71.62192	134.87119	-161.62788	547.6065	302.01273	823.5741	71.308495	229.44444	741.5	17999	54.70834	8.939834	85.35925	-24.968584	54.70701	8.935237	87.1696	-34.496067	-2.6916628	2.2497203	21.704735	-14.049068	-55.578033	9.904778	3953.721087694168
10	-29.697153	39.962955	8.855608	-106.05007	282.23764	323.38486	821.8061	15.578957	420.0	380.1	19999	52.330685	8.542705	83.98128	-48.525707	52.33078	8.541962	84.18315	-24.739136	-2.7501278	2.1844122	21.554768	-16.012688	-53.141228	9.544978	4332.073065042496
11	-26.488386	31.852806	8.200912	-76.710175	503.12808	290.65866	714.6117	19.303144	369.33334	722.2	21999	50.25942	8.25286	82.2519	-24.368504	50.258835	8.249921	82.988464	-23.915228	-2.8011944	2.1387284	19.528587	-12.627531	-51.032787	8.808585	4707.05947637558
12	-85.02447	94.149864	30.622372	-199.99377	750.0471	20.701797	777.05615	702.03467	636.6667	1000.0	23999	48.46756	8.046022	79.6089	-25.737318	48.46765	8.038604	80.32225	-31.614433	-2.7957625	2.1340122	27.918634	-16.418556	-49.24303	7.959937	5106.322649002075
13	4.2295423	15.997303	25.698446	-12.684328	762.1502	36.88661	831.48193	700.03613	671.0	1000.0	25999	47.120834	7.82292	77.809685	-26.961418	47.120735	7.817858	79.26231	-37.292393	-2.8392215	2.0923665	24.723007	-14.803126	-47.85247	7.7066855	5492.63676404953
14	11.831325	11.16368	22.995005	0.6676454	483.95557	183.81897	780.9361	3.4608	1000.0	902.2	27999	45.97141	7.644435	76.292496	-29.869574	45.9716	7.637766	77.49242	-39.734524	-2.8944228	2.070795	26.127615	-15.591354	-46.722725	6.6790166	5834.441782951355
15	-13.877136	27.915466	14.038331	-41.792603	676.88586	130.15271	901.9011	475.46262	669.5	1000.0	29999	45.13897	7.5583777	76.19842	-37.962643	45.139244	7.5540223	77.91492	-24.72716	-3.001831	2.0482483	20.228573	-14.686459	-45.85736	6.4714017	6187.016624689102
16	52.819767	3.8294256	56.43051	47.51888	491.5498	138.81664	853.42096	298.80255	834.3333	1000.0	31999	44.59433	7.3843336	74.90307	-24.39207	44.594196	7.3866763	77.7917	-25.305843	-3.0736227	2.0348272	23.125462	-15.263948	-45.29642	5.937335	6537.245684146881
17	76.93732	30.959814	106.69035	34.24295	763.82983	120.000725	918.72955	513.15625	737.0	1000.0	33999	44.2926	7.315924	75.52178	-26.705292	44.292225	7.312575	77.466484	-22.502455	-3.1218488	1.996068	18.77821	-15.318268	-44.978836	5.7603154	6887.793541669846
18	104.29782	23.42184	127.719666	80.875984	774.0449	75.81026	888.1999	632.0694	737.0	1000.0	35999	44.155895	7.2039747	76.58134	-24.280334	44.15577	7.204249	76.955154	-28.85575	-3.2013981	1.9479864	18.334936	-14.351292	-44.815926	5.7647014	7235.84512925148
19	60.33916	44.689026	128.45639	15.894519	600.6398	358.9901	941.20526	49.651573	319.83334	720.2	37999	44.119324	7.0578384	76.51807	-31.53218	44.11884	7.055375	77.449684	-30.446949	-3.2698934	1.9322045	24.035305	-15.333233	-44.79523	5.8226113	7559.351543426514
20	52.01365	55.032867	177.06648	-13.81775	840.78955	84.88239	927.01306	664.5695	276.8	1000.0	39999	44.3547	6.9372263	77.57258	-20.798342	44.354576	6.938101	77.15982	-26.04827	-3.2894557	1.9228879	18.297974	-14.41568	-45.026184	6.322932	7907.987464666367
21	150.00026	9.902618	159.90288	140.09764	802.8325	87.45616	947.3333	666.92017	1000.0	977.1	41999	44.69599	6.7572503	78.360535	-24.989325	44.695896	6.7614245	78.31601	-26.176392	-3.316166	1.9245343	23.20456	-15.097746	-45.388554	5.7072377	8254.568304300308
22	105.4975	75.44387	196.9618	12.190381	583.583	279.02084	952.73615	194.89668	651.3333	662.1	43999	45.146	6.5401716	76.49318	-27.116472	45.145737	6.5423946	79.304504	-23.036247	-3.3190198	1.912008	18.993977	-15.362724	-45.832027	5.4620166	8568.452093839645
23	160.94171	17.2201	178.16182	143.72162	560.92126	334.88614	942.50726	17.323608	1000.0	665.8	45999	45.703835	6.2996335	77.336044	-21.923355	45.70361	6.300004	77.92452	-24.88214	-3.3333144	1.9110429	20.235643	-15.411934	-46.39797	5.3106017	8883.092564105988
24	67.07696	50.308525	137.56714	23.478888	360.61398	368.60416	959.62506	16.852406	378.0	389.2	47999	46.491135	6.0713677	75.63462	-25.42899	46.491024	6.0711217	76.45691	-26.169958	-3.337899	1.9064246	20.660694	-14.13643	-47.190296	5.0146027	9172.205522537231
25	85.39464	81.71865	283.65955	-0.27696306	935.26135	36.529755	996.73193	866.46075	260.375	995.5	49999	47.433	5.9981165	78.835785	-23.282404	47.43342	5.9930334	76.344955	-29.881914	-3.369584	1.9093887	19.181273	-15.400423	-48.125694	5.1848693	9518.199208021164
26	160.2902	93.722305	313.042	36.530365	745.537	308.4105	1034.3303	82.60543	449.5	784.9	51999	48.423035	5.9259043	77.59107	-27.669466	48.42297	5.926173	77.841774	-29.750137	-3.347095	1.9145275	28.802725	-15.086326	-49.118935	5.191586	9846.077634811401
27	129.88197	40.980457	187.62106	96.682846	949.375	155.50624	1152.7354	531.15936	452.33334	1000.0	53999	49.44308	5.8826265	77.820404	-17.988447	49.44295	5.8861265	76.55739	-25.773111	-3.3378139	1.9239013	24.086723	-15.161977	-50.139305	5.263178	10192.783946037292
28	167.31833	96.23416	299.8097	3.9623451	962.3175	55.599842	1079.8203	884.726	518.4	1000.0	55999	50.56042	5.7816334	76.455826	-37.911636	50.56041	5.7798066	77.688965	-38.06997	-3.3595502	1.9099182	21.353632	-12.838655	-51.248962	5.137355	10541.621504306793
29	281.30612	103.82	385.12613	177.48613	908.2713	284.16595	1144.1661	214.70119	1000.0	870.4	57999	51.646927	5.844026	78.72089	-28.812338	51.647324	5.83532	79.7252	-24.788872	-3.3412662	1.9313004	24.003265	-15.463648	-52.346676	5.0025463	10879.96521949768
30	124.374725	16.692608	141.06734	107.68212	912.9828	236.15141	1090.4679	219.23999	614.0	915.5	59999	52.760487	5.8839097	77.608536	-28.559933	52.7603	5.8757734	78.320335	-29.280432	-3.338249	1.9368848	22.454966	-16.665789	-53.4578	4.943583	11221.600239038467
31	185.11925	103.27796	289.60666	44.494038	809.9124	259.806	1014.24646	52.105923	677.6667	905.2	61999	53.948296	5.864501	81.23496	-30.09682	53.948116	5.8591194	79.49853	-50.935894	-3.3632126	1.9486629	23.063902	-12.889647	-54.655296	4.741084	11563.70816397667
32	253.68158	69.28767	322.96924	184.3939	734.92957	369.5133	1069.3236	48.503193	1000.0	740.5	63999	55.16373	5.872386	81.43118	-28.320805	55.164635	5.8644075	87.51105	-31.607206	-3.3544915	1.963801	26.657108	-13.276106	-55.869507	4.8190823	11888.552040338516
33	264.7858	52.886753	339.13217	220.54327	802.0641	246.91681	991.5013	76.34571	863.0	906.7	65999	56.2447	5.965941	81.76365	-26.31749	56.244255	5.9593363	84.12414	-25.415476	-3.3440366	1.9753903	26.329338	-14.790501	-56.95006	4.5804496	12218.159122943878
34	137.81932	128.5586	336.13193	6.838897	841.35046	265.21945	1033.6753	89.1007	376.83334	905.6	67999	57.38233	6.170629	83.47457	-30.236973	57.382515	6.1635423	83.77373	-31.52438	-3.3511262	1.9742649	22.339668	-14.467938	-58.08702	4.994427	12552.424480438232
35	283.0207	85.45224	368.47293	197.56845	719.4827	314.15137	975.64246	70.27845	1000.0	815.5	69999	58.365154	6.262015	83.67743	-30.844591	58.36528	6.2558084	83.76645	-24.563622	-3.358555	1.9779322	29.267162	-16.336569	-59.061897	4.6935267	12890.133945465088
36	252.29898	39.227287	291.52628	213.0717	802.9402	259.9818	924.2179	34.2308	1000.0	902.9	71999	59.419544	6.3618207	85.23217	-33.55368	59.419586	6.355346	85.203606	-39.13154	-3.3392854	1.974116	29.75756	-15.581986	-60.117016	4.6952605	13245.412299394608
37	204.78235	101.365524	316.04144	70.86798	740.94916	295.40506	977.26776	129.71532	684.6667	836.5	73999	60.448616	6.369194	85.49466	-32.44905	60.44879	6.363868	85.9212	-27.050726	-3.3611891	1.9608874	27.55059	-14.045521	-61.152298	4.5862813	13605.566152334213
38	282.79886	11.964844	294.7637	270.834	838.2332	374.61273	1110.145	89.01822	695.0	814.5	75999	61.396744	6.3987427	87.347824	-28.816515	61.39639	6.395214	86.026146	-41.031174	-3.3600824	1.9868078	35.660137	-13.670256	-62.087677	4.7040696	13968.863103151321
39	214.25972	122.86877	361.89807	78.26623	840.8096	286.98615	1036.0757	37.04501	500.8	856.7	77999	62.341976	6.394073	88.07238	-24.019726	62.342545	6.386043	90.03763	-24.84003	-3.3548825	1.9622016	24.718943	-13.171335	-63.02832	4.756655	14341.142540454865
40	158.03111	88.0041	249.00021	38.990128	686.89465	313.73648	916.7484	13.583539	679.0	808.5	79999	63.18517	6.519139	91.16621	-41.772316	63.184944	6.5131507	91.51494	-31.410452	-3.371332	1.9762563	27.590397	-14.848997	-63.86342	5.0491123	14709.713527441025
41	188.92397	70.74121	276.95215	103.74243	953.64905	335.77893	1263.7675	16.107159	701.3333	901.1	81999	63.98662	6.609173	93.17609	-22.206436	63.98689	6.604334	90.88834	-31.268774	-3.3728797	1.9769046	35.21192	-14.079919	-64.672	4.7787647	15090.38842368126
42	149.34528	110.35815	353.7238	28.637657	891.43866	202.66948	1034.5454	307.33502	318.0	922.7	83999	64.83705	6.6418037	92.50545	-25.319849	64.837	6.6283245	91.7098	-33.641285	-3.3783631	1.9770437	28.527763	-13.249183	-65.51922	5.031107	15475.12218618393
43	311.31238	96.58112	407.8935	214.73125	795.3078	343.90732	1154.8447	62.508694	1000.0	828.2	85999	65.56184	6.717135	93.08249	-37.793537	65.561844	6.7122326	93.23146	-40.648724	-3.3634524	1.970827	29.309727	-15.401959	-66.23919	4.98083	15851.68621468544
44	349.266	30.778091	380.04407	318.48788	824.5631	406.0683	1539.6884	78.93927	725.0	818.3	87999	66.24344	6.828791	92.61073	-28.37342	66.24355	6.818071	92.85051	-34.96505	-3.3530962	1.9780595	28.205462	-13.330191	-66.92097	5.0006514	16228.275692939758
45	289.34003	17.707794	307.04782	271.63223	825.4624	313.39276	1251.7252	17.313398	1000.0	797.5	89999	66.952484	6.7992954	94.44461	-50.01917	66.95249	6.7910876	96.94805	-43.155098	-3.3659422	1.9852093	30.208519	-13.407524	-67.620285	5.1255445	16602.2752161026
46	477.99854	153.37804	671.0966	295.88034	790.39325	149.06941	1009.2642	557.5322	858.0	1000.0	91999	67.58816	6.880565	95.40608	-36.184532	67.5878	6.873192	92.96902	-32.256107	-3.363558	2.0012147	37.989258	-14.352793	-68.25241	5.1288214	16992.02399301529
47	148.19473	73.24632	284.1344	73.64516	824.8634	371.156	1343.6434	68.44068	303.83334	684.1	93999	68.09057	6.9253073	93.802414	-35.52968	68.09037	6.9204545	94.51265	-39.23566	-3.3643777	1.982199	33.893772	-14.215513	-68.74812	5.0994906	17353.26415371895
48	248.36763	187.7149	532.2479	57.84677	981.8957	378.57114	1363.8221	195.38539	487.2	833.0	95999	68.60414	7.098249	94.699196	-38.55361	68.60422	7.0958323	94.585884	-30.362555	-3.3495076	1.9989802	27.000723	-13.779981	-69.25456	5.685288	17729.9590651989
49	346.86926	323.99768	784.5856	10.686518	803.02625	405.7816	1165.1783	104.38541	603.6667	742.4	97999	69.15575	7.140923	97.20577	-43.511692	69.15569	7.1341567	97.57225	-46.748417	-3.3516972	1.9707258	26.357843	-13.756072	-69.8067	5.5137844	18099.47667503357
50	296.97333	92.38565	409.598	183.30748	887.39197	439.3046	1308.9786	43.663815	756.6667	790.6	99999	69.690025	7.2454233	97.49701	-27.958961	69.6901	7.2357287	97.40922	-45.632263	-3.3321166	1.9948431	29.260332	-13.472351	-70.32789	5.661004	18474.758904457092
51	246.8546	5.2830505	252.13765	241.57155	714.2871	428.87222	1213.7695	74.77812	1000.0	741.1	101999	70.2642	7.2598963	96.98446	-25.776146	70.263565	7.25295	97.6013	-29.010786	-3.3083735	2.0137339	27.85915	-15.517558	-70.92142	5.4232364	18843.646435260773
52	166.30437	101.74461	272.26065	29.017876	885.11365	244.88235	1062.0535	182.79329	416.33334	911.7	103999	70.79994	7.301825	98.755615	-33.259056	70.79989	7.293652	97.54878	-37.003036	-3.280862	2.0370145	41.39694	-15.637118	-71.45826	5.736945	19232.578738451004
53	171.84486	92.23874	240.15317	41.449036	943.4821	221.35445	1188.5607	358.3657	696.3333	851.9	105999	71.38714	7.16658	99.17761	-33.137554	71.38746	7.1600857	97.35422	-31.86787	-3.3408456	2.0097177	36.584557	-13.890739	-72.03789	5.09207	19578.111601114273
54	281.55423	199.27678	539.1214	53.719017	1095.0403	234.63878	1406.2552	534.63635	690.0	937.6	107999	71.84418	7.2270184	99.745255	-42.60016	71.84392	7.2156315	98.60723	-42.655872	-3.324604	2.0187078	30.824167	-14.687315	-72.47757	5.5018263	19886.37009716034
55	167.80363	165.29669	396.62885	8.249035	687.17505	411.60834	1113.0669	19.482891	511.75	662.5	109999	72.27286	7.2229033	98.03837	-37.514275	72.27296	7.2192273	98.37045	-32.067867	-3.3216896	2.0144076	31.136932	-15.590139	-72.912575	5.36714	20171.05203485489
56	187.58992	135.85385	392.9005	60.451923	537.67303	396.54724	1020.27167	30.9747	438.2	491.2	111999	72.75466	7.2503505	100.377335	-41.873894	72.75455	7.239996	100.64209	-36.50338	-3.2820547	2.0404885	31.976812	-13.290682	-73.4014	5.604558	20439.39867734909
57	268.601	134.2269	436.38995	97.80861	639.74084	411.27856	1115.0673	53.923668	553.25	593.4	113999	73.25108	7.229838	102.21186	-41.053013	73.25072	7.2185874	102.167465	-45.12784	-3.2907746	2.0481684	40.19739	-14.652096	-73.90238	5.6989403	20716.5239276886
58	103.85423	84.58226	211.48386	20.345772	572.791	445.08508	1170.7947	27.164087	305.75	541.9	115999	73.75681	7.156005	101.62732	-48.18575	73.75668	7.151683	101.381615	-32.107796	-3.3030238	2.049168	29.019585	-14.271898	-74.39692	5.7556534	20992.732420682907
59	202.58745	158.12036	505.33115	66.562096	735.1222	412.0638	1131.0199	29.650545	364.5	729.8	117999	74.177185	7.1617017	101.244896	-42.469303	74.1773	7.1524625	100.55213	-36.089554	-3.282973	2.0653396	36.788757	-14.440661	-74.82713	5.9048595	21280.89651632309
60	312.43594	163.05516	475.2554	89.61249	762.6747	389.64056	1472.1833	205.69023	696.3333	632.3	119999	74.60738	7.144624	104.01878	-38.57555	74.60706	7.1402245	102.93231	-39.67296	-3.3087544	2.0522242	47.9768	-14.225431	-75.24971	5.8467097	21559.008884191513
61	365.65622	29.867096	395.52332	335.78912	932.53107	367.25412	1475.302	176.0837	1000.0	838.1	121999	74.92846	7.2416306	103.84819	-27.426924	74.92835	7.230577	104.201515	-35.66906	-3.2980766	2.0590334	32.883266	-15.2282505	-75.57502	5.8577166	21855.327023744583
62	197.48784	142.15431	366.56992	18.764997	759.0088	338.87402	1145.2574	226.01622	673.6667	683.5	123999	75.275566	7.155503	104.262054	-41.86635	75.27509	7.149998	103.98038	-56.98054	-3.3380477	2.0573328	36.97377	-15.545453	-75.91453	6.036225	22141.587993860245
63	366.762	114.910065	481.67206	251.85193	932.5109	275.7665	1164.0238	125.96941	1000.0	911.0	125999	75.53188	7.258126	105.949425	-30.235216	75.53209	7.2534084	103.06007	-41.925922	-3.2693694	2.1081488	29.969675	-14.2073765	-76.1765	5.8993983	22443.993102550507
64	267.20428	46.72438	313.92865	220.47989	1006.70526	94.59759	1137.2062	811.74286	1000.0	947.7	127999	75.99372	7.1682453	104.48673	-29.237408	75.99328	7.163434	106.647736	-40.161133	-3.291276	2.0691125	27.465607	-14.947544	-76.636	5.48167	22747.16401576996
65	311.6507	108.58541	472.5577	198.25703	698.68085	391.41968	1141.7319	66.41839	611.5	724.7	129999	76.36121	7.1573305	104.52687	-39.117153	76.361275	7.1556664	106.97131	-46.89312	-3.3018773	2.0624862	31.004292	-13.589057	-77.00921	5.4849367	23028.825089216232
66	245.2414	150.71043	445.20078	20.793808	883.08057	452.2245	1425.7098	69.40095	554.5	712.7	131999	76.71271	7.1358933	106.15909	-34.872723	76.71223	7.126224	104.01626	-31.911167	-3.3189273	2.0260842	30.37418	-13.960609	-77.35321	5.5449047	23304.800028800964
67	388.06943	263.25168	681.7967	43.101303	1017.5203	223.69173	1296.186	458.8092	647.0	922.9	133999	77.11838	7.0633025	105.21084	-48.32026	77.11906	7.05385	106.83627	-33.537804	-3.3154488	2.0607524	34.36373	-14.886561	-77.75029	5.672407	23596.212256908417
68	306.68616	126.3584	485.38275	139.30812	125.33476	432.01935	964.7951	-433.7874	395.75	909.6	135999	77.3318	7.331847	106.3169	-33.408268	77.33157	7.321988	106.07024	-32.878414	-3.2299266	2.0660203	26.533998	-14.538993	-77.964134	6.12594	23875.821917772293
69	477.62543	184.15967	661.7851	293.4658	800.58795	503.18713	1444.7943	105.13433	1000.0	745.4	137999	77.57247	7.4516816	107.1945	-54.388844	77.57235	7.4556875	106.146515	-28.710608	-3.2417715	2.0636103	30.019249	-14.811539	-78.19959	6.0171084	24077.07833623886
70	223.62859	42.769897	254.1951	163.14397	988.1859	187.4236	1145.8472	448.16418	712.0	1000.0	139999	77.87329	7.454572	106.68911	-39.07116	77.87343	7.4442196	107.20754	-33.77456	-3.2550638	2.0821762	41.946136	-13.34314	-78.50841	6.091087	24293.517048597336
71	291.56595	182.36937	591.5315	100.06307	791.0105	388.11462	1259.4773	67.19776	564.75	629.4	141999	78.14449	7.5634265	108.087875	-38.917126	78.144455	7.564006	108.726135	-38.502098	-3.208271	2.085974	37.109146	-13.899481	-78.77561	6.0538526	24487.878902196884
72	268.3707	78.75201	347.1227	189.6187	871.5332	278.1972	1202.6796	341.45853	1000.0	782.5	143999	78.45203	7.5018945	111.07147	-35.000927	78.45181	7.4876623	109.32955	-29.874266	-3.2421207	2.0833328	49.038662	-13.74828	-79.090706	5.8795624	24694.580909490585
73	415.8339	487.38403	1100.7819	6.6552906	883.36536	343.07422	1279.9198	157.03636	378.33334	792.3	145999	78.85226	7.418371	110.55234	-32.49832	78.85214	7.428273	109.9808	-29.745209	-3.2318258	2.0809038	32.505417	-14.377398	-79.46541	5.8338737	24903.6851978302
74	292.66852	14.821457	307.49	277.84708	889.89417	343.08676	1221.6318	210.31885	1000.0	833.1	147999	79.07155	7.5985575	111.49166	-44.47485	79.07112	7.5958996	110.122086	-48.906387	-3.2336416	2.1051857	32.290817	-15.663287	-79.69435	6.120158	25111.78691315651
75	241.7539	111.54121	383.45865	110.885	1042.1707	424.95627	1887.5544	111.004776	694.3333	902.5	149999	79.33308	7.654327	111.409904	-48.825844	79.33283	7.650604	110.116325	-42.146027	-3.225764	2.1102562	35.85327	-15.031309	-79.95745	6.1728797	25309.46622109413
76	506.44028	145.92812	712.7148	397.7679	592.0448	384.90982	1233.936	39.183834	769.0	751.8	151999	79.65982	7.673897	113.37322	-30.916994	79.66022	7.6677594	111.49744	-29.199802	-3.2302816	2.0889087	47.9398	-14.901344	-80.29051	5.7714863	25501.48356986046
77	279.0224	69.85889	372.16028	203.91579	1037.2991	202.20941	1413.9551	660.3996	717.3333	1000.0	153999	79.83218	7.8449345	114.58945	-54.096104	79.83209	7.845339	112.44131	-66.65431	-3.2477703	2.1205602	36.3563	-15.869011	-80.46025	6.2731934	25709.99973487854
78	431.22632	43.526825	474.75314	387.6995	775.19946	394.6794	1139.337	96.74504	1000.0	730.8	155999	80.10932	7.7890778	115.98652	-45.106956	80.10918	7.7852974	112.8627	-44.28041	-3.2294588	2.116677	33.259083	-15.037061	-80.735085	6.0624676	25918.655215501785
79	232.90173	147.86427	342.81528	23.883217	981.6859	223.77809	1383.1895	501.06845	677.0	868.1	157999	80.32056	7.7601695	115.86028	-39.52532	80.32059	7.7614207	112.429634	-49.258427	-3.2202175	2.1218455	32.287895	-13.587061	-80.93914	6.1452627	26136.90453696251
80	742.8878	404.58	1147.4678	338.3078	739.30066	524.2714	1475.84	71.26823	1000.0	565.9	159999	80.47128	7.833443	118.295685	-34.56492	80.47137	7.8312936	119.95856	-54.306236	-3.2379704	2.0961616	27.749264	-15.359338	-81.09173	6.0526967	26328.655721902847
81	254.98917	161.62401	533.1837	74.50198	784.5856	483.09134	1512.3839	26.169254	316.2	723.0	161999	80.79867	7.844877	117.87854	-37.629402	80.79878	7.840414	117.37	-34.435165	-3.2293768	2.109434	35.035683	-17.487389	-81.42881	5.8600535	26523.39257502556
82	521.12933	435.51523	1136.5652	192.45209	983.6002	241.64996	1272.8079	301.9601	899.0	914.5	163999	81.01928	7.8068233	117.456024	-34.35666	81.01924	7.801208	114.53326	-50.926743	-3.259511	2.1263905	30.829493	-16.17816	-81.64301	6.296774	26731.375712394714
83	327.04883	18.780014	345.82883	308.2688	760.15784	490.861	1542.4847	51.581795	1000.0	620.5	165999	81.261055	7.9134254	113.95813	-32.436447	81.261566	7.904073	113.792564	-28.987856	-3.2250295	2.125278	30.557798	-15.374903	-81.87871	6.568744	26930.007379055023
84	447.6568	222.2846	667.6115	83.55237	1586.2777	569.9486	2211.8774	165.70886	469.5	909.3	167999	81.55116	7.924103	117.31739	-31.902365	81.55126	7.923467	114.82881	-41.505833	-3.222405	2.129375	28.420979	-14.808394	-82.16888	6.197674	27143.091270446777
